Moisture,Texture,Crop,Nitrogen,Potassium,Phosphorus,pH,EC_dS_m,Organic_Matter_%,Iron_ppm,Zinc_ppm,Manganese_ppm,Copper_ppm,Boron_ppm
30.0,Red,Tobacco,13,17,16,7.04,1.92,2.69,2.91,1.41,2.81,0.66,0.26
30.0,Black,Millets,35,0,0,6.88,1.57,3.46,5.5,1.61,1.61,0.44,0.49
50.0,Loamy,Wheat,12,18,19,7.31,0.48,2.88,3.75,1.73,3.12,1.15,0.77
61.0,Loamy,Cotton,11,0,38,6.6,1.81,3.66,5.37,1.12,4.03,0.56,0.75
26.0,Black,Oil seeds,8,9,30,6.0,1.78,1.93,3.3,1.58,2.55,0.77,0.96
45.0,Clayey,Paddy,6,19,21,7.01,1.11,2.75,4.34,1.87,3.12,1.15,0.7
41.0,Red,Ground Nuts,41,0,0,7.09,1.34,2.99,3.56,1.88,2.27,0.59,0.53
25.0,Sandy,Maize,9,10,30,6.75,1.96,2.22,4.31,1.56,4.2,0.56,0.84
32.0,Clayey,Pulses,24,0,19,7.11,1.25,3.49,5.58,1.46,1.71,0.36,0.32
27.0,Red,Tobacco,4,17,17,6.64,1.85,3.75,5.55,1.3,3.97,1.14,0.85
51.0,Loamy,Wheat,39,0,0,6.69,0.53,2.48,4.56,0.77,2.83,1.0,0.49
43.0,Sandy,Millets,15,0,41,6.53,0.71,2.22,6.21,0.69,1.65,0.42,0.32
57.0,Black,Sugarcane,12,0,10,5.84,1.11,2.43,3.56,1.23,4.49,0.53,0.33
31.27,Loamy,Cotton,20,2,15,5.98,1.34,3.42,3.46,0.74,3.21,1.11,0.99
50.14,Black,Millets,9,12,14,5.85,1.71,2.88,4.96,1.37,3.6,0.74,0.7
40.35,Black,Wheat,28,0,22,6.88,1.98,1.32,4.99,1.47,4.06,0.76,0.34
33.06,Clayey,Millets,8,9,28,6.33,1.02,2.61,2.69,1.29,3.79,0.85,0.41
46.25,Red,Ground Nuts,40,2,0,6.66,0.48,1.24,4.93,0.55,4.06,0.96,0.5
46.33,Clayey,Cotton,11,0,11,7.34,1.68,3.22,4.0,0.59,4.17,1.14,0.24
30.65,Sandy,Oil seeds,6,4,14,6.22,1.37,2.05,5.49,0.67,3.56,1.0,0.29
58.17,Red,Millets,9,14,11,6.5,0.72,2.43,5.73,0.73,2.78,1.13,0.81
53.63,Sandy,Ground Nuts,5,8,30,7.08,1.19,3.28,4.71,1.98,2.35,1.02,0.83
40.96,Red,Cotton,41,0,3,6.19,1.59,1.32,2.51,1.02,4.66,0.25,0.99
43.3,Black,Wheat,40,0,0,5.93,1.63,1.61,5.05,0.94,4.89,0.32,0.25
65.09,Clayey,Oil seeds,8,1,16,6.29,1.2,2.23,5.5,0.58,2.75,1.08,0.91
54.07,Loamy,Cotton,15,0,35,6.07,0.89,1.8,3.5,1.45,1.89,0.23,0.45
38.71,Loamy,Paddy,19,4,28,7.38,1.96,2.08,4.36,1.48,2.28,0.99,0.46
31.12,Loamy,Barley,11,5,12,7.17,1.46,3.8,6.36,0.76,3.85,1.05,0.3
52.62,Sandy,Oil seeds,9,22,21,6.88,1.05,3.35,3.69,1.88,2.11,0.62,0.99
30.5,Black,Oil seeds,11,0,8,7.28,0.85,3.5,3.39,1.7,4.23,0.55,0.98
23.18,Black,Maize,37,2,4,7.17,1.57,3.64,3.34,0.85,4.73,0.39,0.89
31.03,Clayey,Sugarcane,12,13,13,6.12,0.79,2.09,4.74,1.23,4.87,0.25,0.27
69.07,Clayey,Oil seeds,16,3,32,7.32,0.67,1.97,6.3,1.19,1.53,0.95,0.87
30.51,Black,Paddy,12,0,36,6.72,1.25,1.81,4.93,1.02,4.85,0.27,0.71
47.06,Sandy,Tobacco,45,2,0,7.17,0.86,3.36,3.71,1.73,4.09,1.14,0.3
47.85,Black,Pulses,7,15,16,7.32,1.41,2.97,5.05,0.66,1.79,0.5,0.41
55.51,Loamy,Sugarcane,10,3,31,6.34,0.59,1.81,5.0,1.12,2.95,0.99,0.75
65.48,Clayey,Cotton,8,13,28,5.99,1.45,2.18,4.89,1.14,3.95,0.26,0.84
43.77,Loamy,Tobacco,2,20,19,6.19,0.85,2.52,3.14,1.2,4.85,0.74,0.88
50.41,Loamy,Sugarcane,11,1,36,6.53,0.4,2.57,5.04,1.79,2.07,0.55,0.64
21.12,Sandy,Maize,34,0,3,7.19,0.6,3.51,4.22,0.83,1.95,0.23,0.63
62.92,Red,Sugarcane,39,0,0,7.26,1.89,2.19,2.57,0.65,3.15,0.86,0.75
30.62,Black,Pulses,11,0,32,5.81,1.79,3.56,4.66,1.43,4.89,1.14,0.82
46.2,Sandy,Cotton,15,0,8,6.67,0.77,2.35,6.46,0.76,4.9,0.21,0.34
59.57,Sandy,Maize,38,4,0,6.51,1.65,3.14,3.9,0.61,2.3,0.47,0.79
70.0,Loamy,Sugarcane,14,0,35,6.18,1.37,3.62,6.36,1.14,2.62,0.9,0.47
27.78,Sandy,Pulses,18,0,25,6.0,1.95,3.56,2.88,0.83,4.68,1.07,0.51
43.9,Sandy,Sugarcane,13,16,11,6.37,1.0,1.35,5.43,1.04,4.07,0.39,0.26
57.07,Sandy,Pulses,4,0,14,7.4,1.49,1.73,2.96,0.89,4.9,0.27,0.67
48.49,Red,Paddy,8,9,18,6.35,0.5,2.44,3.59,0.64,4.63,0.21,0.27
54.23,Red,Wheat,15,4,33,6.68,1.03,2.32,4.78,1.34,2.25,0.42,0.93
20.16,Loamy,Cotton,9,15,16,7.0,1.94,2.87,4.87,0.54,4.16,0.27,0.7
34.11,Sandy,Cotton,12,8,33,6.42,1.26,3.66,5.6,1.95,1.67,0.56,0.99
41.4,Clayey,Paddy,35,0,0,7.45,0.86,1.49,4.96,1.01,4.36,0.64,0.4
48.36,Loamy,Tobacco,6,16,17,7.44,0.59,2.37,4.87,1.54,3.61,0.68,0.74
56.32,Red,Ground Nuts,41,3,4,6.23,1.53,1.7,6.15,1.72,4.85,0.34,0.97
36.89,Loamy,Sugarcane,7,11,20,6.65,1.43,3.52,4.31,0.92,4.86,0.66,0.44
54.95,Red,Wheat,7,11,31,6.31,1.0,3.71,3.4,1.62,1.68,0.21,0.28
35.75,Loamy,Pulses,11,13,15,6.28,1.92,2.44,3.15,1.75,2.06,0.44,0.71
51.17,Red,Cotton,23,0,23,5.86,0.44,1.47,4.1,0.86,3.19,0.57,0.49
33.12,Red,Wheat,40,0,0,6.84,0.89,3.24,5.35,1.99,4.58,0.32,0.42
50.07,Loamy,Barley,38,0,1,6.65,1.87,3.01,2.67,0.53,4.35,1.01,0.99
52.09,Clayey,Wheat,21,3,20,5.89,0.91,2.12,3.02,0.83,4.88,0.4,0.8
62.22,Clayey,Ground Nuts,35,4,0,6.27,0.8,3.51,2.92,1.67,3.66,0.95,0.59
67.37,Sandy,Barley,15,0,33,7.34,1.25,3.74,4.84,0.79,2.4,0.67,0.24
67.14,Clayey,Oil seeds,5,7,32,6.21,1.72,2.65,3.47,1.55,1.59,0.68,0.35
43.83,Loamy,Wheat,13,0,38,6.05,0.57,2.67,3.17,1.78,2.28,0.85,0.44
38.51,Red,Maize,36,0,0,6.63,1.91,1.97,4.87,1.94,3.86,0.24,0.59
53.31,Clayey,Millets,12,15,15,7.48,1.67,2.72,5.55,1.21,4.74,0.28,0.6
34.86,Black,Paddy,20,0,20,6.21,0.69,2.34,3.83,1.96,2.62,0.53,0.22
35.35,Black,Oil seeds,23,2,16,6.94,1.54,1.99,4.81,1.12,4.56,0.62,0.95
41.22,Sandy,Sugarcane,1,14,22,7.09,1.02,1.37,2.89,0.83,2.88,0.63,0.63
62.63,Clayey,Wheat,31,1,0,6.2,1.04,1.86,6.24,1.27,2.58,0.88,0.22
52.16,Clayey,Cotton,20,0,21,7.04,1.65,1.71,3.85,1.47,3.28,0.2,0.76
58.9,Sandy,Oil seeds,7,1,7,6.43,1.94,2.61,6.49,1.19,3.05,1.16,0.26
69.68,Sandy,Barley,11,3,14,6.87,0.6,2.76,6.41,1.35,4.7,0.37,0.78
42.55,Black,Sugarcane,17,0,31,6.88,1.07,2.78,5.62,1.12,3.14,0.45,0.76
49.46,Loamy,Maize,19,0,19,6.71,1.17,2.21,2.58,1.29,2.47,1.11,0.99
45.07,Loamy,Maize,5,8,32,5.95,1.0,2.3,4.67,1.93,4.45,0.21,0.47
40.78,Sandy,Ground Nuts,39,0,2,7.22,0.98,3.37,2.85,1.25,5.0,1.19,0.32
22.27,Sandy,Cotton,8,1,43,6.35,0.48,2.44,6.08,0.88,3.77,0.24,0.27
20.0,Red,Tobacco,13,4,39,6.12,1.5,3.77,5.66,1.64,2.38,0.32,0.26
34.08,Black,Sugarcane,13,0,8,5.87,1.1,2.34,6.39,1.01,2.34,0.44,0.85
20.0,Clayey,Barley,12,6,30,6.8,0.71,2.89,4.93,1.72,1.7,0.64,0.77
32.86,Clayey,Sugarcane,24,0,17,6.95,1.71,1.33,4.59,0.59,1.77,0.72,0.98
38.0,Clayey,Pulses,26,0,21,5.83,1.68,2.9,4.58,1.0,4.7,0.3,0.45
41.53,Loamy,Ground Nuts,8,13,18,6.67,1.18,3.41,4.05,0.64,1.84,0.27,0.84
47.99,Red,Sugarcane,39,2,0,6.19,0.88,3.65,4.37,0.63,3.2,0.23,0.27
33.66,Loamy,Maize,37,3,0,6.9,1.42,3.79,5.04,1.49,3.94,0.46,0.92
55.92,Red,Wheat,2,5,25,6.1,0.86,1.93,6.23,1.08,4.48,1.12,0.24
42.97,Sandy,Pulses,10,17,12,6.97,0.78,2.7,4.88,1.81,2.1,0.59,0.83
41.92,Black,Oil seeds,3,15,15,6.46,1.57,2.37,5.93,1.27,3.03,0.96,0.45
36.14,Loamy,Ground Nuts,10,0,34,7.39,0.46,2.67,5.95,0.94,2.38,0.39,0.34
31.58,Black,Paddy,16,3,22,6.03,0.55,1.61,4.58,1.58,2.4,0.26,0.76
55.73,Sandy,Tobacco,18,1,38,6.38,0.41,3.43,3.89,1.44,2.56,0.75,0.92
62.06,Clayey,Maize,11,11,16,5.99,0.64,3.56,5.06,1.7,3.55,1.02,0.81
69.67,Sandy,Pulses,12,13,27,7.37,0.51,2.37,4.28,1.47,1.56,1.1,0.45
46.87,Sandy,Ground Nuts,10,4,11,7.29,1.99,1.93,2.83,0.75,2.93,0.75,0.48
29.12,Loamy,Oil seeds,13,21,14,6.24,0.86,1.57,4.01,1.51,2.15,0.49,0.35
67.72,Clayey,Ground Nuts,8,13,32,6.92,0.64,2.98,6.48,1.09,4.88,0.31,0.86
63.83,Black,Oil seeds,36,4,0,7.19,0.79,2.01,2.69,1.19,3.54,0.87,0.29
39.27,Clayey,Maize,19,0,20,6.74,1.9,3.56,5.29,1.88,4.54,0.48,0.92
42.28,Red,Millets,41,0,1,6.7,1.23,2.94,5.86,1.04,2.18,1.04,0.68
31.9,Loamy,Ground Nuts,14,13,8,6.21,0.98,2.88,5.09,1.42,4.34,0.81,0.67
22.41,Loamy,Wheat,34,1,0,5.96,1.8,2.65,4.78,1.05,2.95,1.06,0.87
23.25,Clayey,Ground Nuts,8,1,9,7.33,1.03,1.32,5.33,0.64,2.12,0.77,0.73
41.18,Loamy,Millets,19,0,26,7.33,0.94,3.62,4.22,1.18,4.16,0.97,0.44
33.13,Black,Maize,38,0,4,6.88,0.73,2.83,2.87,1.4,4.17,0.49,0.48
26.8,Black,Tobacco,11,2,40,6.38,1.0,3.78,6.35,1.11,4.99,0.7,0.34
27.9,Red,Sugarcane,26,2,22,6.39,0.91,2.6,4.23,1.09,4.23,0.22,0.57
62.34,Loamy,Millets,6,1,14,7.03,1.48,3.05,5.16,1.73,2.01,0.81,0.29
26.27,Black,Ground Nuts,9,3,11,7.33,0.86,1.35,4.63,0.54,2.63,0.73,0.72
42.86,Red,Barley,13,0,35,7.31,1.32,2.84,2.72,0.94,3.08,0.96,0.34
46.45,Red,Wheat,12,4,13,7.13,0.51,3.19,6.31,1.72,1.94,0.93,0.89
43.03,Clayey,Paddy,15,0,16,6.89,0.71,3.22,5.67,1.88,4.26,0.83,0.76
42.33,Loamy,Maize,5,10,32,5.94,1.05,3.2,3.1,1.12,3.34,0.26,0.91
37.76,Black,Maize,8,4,6,6.07,1.9,1.79,6.43,1.83,4.81,1.1,0.27
47.97,Black,Ground Nuts,6,14,10,7.33,1.0,3.74,5.45,0.8,3.56,0.22,0.84
37.05,Sandy,Oil seeds,6,0,9,6.83,1.46,3.79,4.39,0.83,3.33,1.0,0.9
63.79,Loamy,Cotton,5,3,14,5.82,0.81,1.4,4.95,1.77,1.75,0.68,0.24
32.67,Clayey,Oil seeds,35,0,0,5.97,0.6,3.63,2.93,1.85,2.02,1.02,1.0
42.93,Clayey,Cotton,44,0,0,6.93,0.49,1.95,4.74,0.83,4.47,0.67,0.44
49.1,Clayey,Ground Nuts,10,0,12,5.81,0.89,2.99,2.79,0.59,4.97,0.85,0.37
64.66,Black,Cotton,38,0,0,6.07,0.65,2.08,4.68,0.64,2.95,0.56,0.53
35.6,Red,Oil seeds,19,0,18,6.73,0.68,3.72,4.71,0.89,4.34,0.94,0.21
55.92,Sandy,Millets,10,5,31,6.98,1.62,1.46,6.0,1.64,3.7,0.45,0.91
25.36,Red,Paddy,15,4,39,6.91,0.43,2.49,5.4,1.26,4.86,0.92,0.41
65.58,Loamy,Cotton,3,8,34,6.18,1.29,2.31,3.5,1.18,2.33,0.39,0.62
59.87,Sandy,Barley,12,0,37,7.01,1.01,2.05,6.05,1.38,3.41,0.92,0.7
54.13,Clayey,Cotton,16,13,16,6.2,1.21,2.88,4.79,1.84,2.93,0.49,0.83
35.02,Red,Pulses,20,0,23,6.35,1.3,1.54,4.93,0.64,3.4,0.48,0.4
45.34,Clayey,Oil seeds,9,19,18,7.07,0.9,3.06,3.18,1.54,2.44,1.01,0.77
40.69,Sandy,Sugarcane,35,0,0,6.9,0.87,3.75,5.93,1.89,3.24,1.01,0.29
39.63,Clayey,Ground Nuts,23,0,15,7.24,1.57,3.29,6.22,0.82,3.69,0.89,0.76
51.65,Black,Millets,6,0,41,6.92,1.79,3.44,5.6,1.76,1.78,1.12,0.94
41.7,Red,Paddy,37,0,1,6.77,0.71,2.14,6.26,1.55,4.1,0.36,0.27
56.8,Red,Barley,9,0,35,5.96,0.56,2.04,3.71,0.52,3.97,0.47,0.29
20.0,Clayey,Oil seeds,9,0,36,6.43,1.84,2.54,5.94,0.85,4.58,0.49,0.65
47.64,Red,Barley,11,0,14,6.25,0.96,1.32,4.46,1.41,2.99,0.51,0.24
38.36,Sandy,Wheat,9,4,18,6.21,1.28,3.66,3.16,1.25,1.72,0.53,0.35
37.58,Red,Ground Nuts,23,2,22,7.45,0.98,1.57,5.18,1.29,3.12,0.9,0.35
24.65,Sandy,Cotton,13,1,42,6.47,0.6,3.55,5.24,0.85,1.98,0.47,0.58
52.94,Black,Ground Nuts,37,0,0,7.32,1.34,1.42,3.65,1.51,3.77,0.49,0.4
46.14,Red,Cotton,21,0,18,6.87,1.24,3.34,2.61,0.9,1.66,0.77,0.58
24.39,Loamy,Wheat,13,0,10,7.15,0.72,1.6,3.3,1.08,2.81,0.39,0.62
65.38,Black,Sugarcane,39,0,0,6.65,1.12,1.3,4.1,1.05,1.79,0.56,0.78
45.27,Black,Millets,24,0,21,6.78,1.68,3.07,3.17,1.51,1.51,0.26,0.96
50.2,Clayey,Pulses,10,0,9,6.64,1.34,1.93,3.28,0.64,4.86,1.15,0.6
20.33,Red,Wheat,8,0,12,6.13,0.56,3.06,4.07,0.81,4.99,0.52,0.48
70.0,Sandy,Maize,7,6,34,7.03,1.28,2.64,6.35,0.8,3.44,1.05,0.41
46.59,Clayey,Pulses,16,13,13,6.28,1.52,1.48,5.56,0.66,2.34,0.73,0.71
70.0,Loamy,Pulses,41,2,0,5.84,1.67,3.62,3.78,0.81,4.69,0.43,0.95
45.57,Clayey,Millets,19,0,22,6.9,1.41,2.38,6.31,1.41,4.73,0.39,0.81
32.5,Red,Barley,20,0,19,6.1,0.64,3.11,5.08,1.6,4.49,0.89,0.36
64.77,Sandy,Sugarcane,11,0,9,7.4,1.54,2.5,4.32,1.49,3.41,1.16,0.91
67.73,Clayey,Oil seeds,34,0,4,7.42,1.48,2.77,4.37,1.21,1.76,0.38,0.79
25.35,Clayey,Ground Nuts,11,0,35,7.36,0.44,1.99,4.14,0.58,1.81,0.32,0.3
46.43,Sandy,Cotton,34,0,2,6.43,1.06,1.72,3.43,1.94,4.64,0.59,0.77
34.97,Black,Wheat,17,0,15,5.83,0.93,2.61,4.05,0.75,4.57,0.59,0.43
53.09,Black,Pulses,15,11,11,7.38,1.47,2.34,4.61,1.5,3.02,1.01,0.59
69.87,Loamy,Paddy,15,0,40,6.53,0.75,2.21,4.61,1.87,2.65,0.67,0.44
33.6,Black,Oil seeds,21,0,18,7.44,1.35,2.95,5.55,1.55,3.75,0.26,0.27
29.64,Red,Barley,17,0,20,7.44,1.86,3.0,3.94,0.83,4.32,1.12,0.81
42.77,Clayey,Oil seeds,10,12,18,7.25,1.68,1.32,5.37,0.97,4.06,0.57,0.86
23.84,Loamy,Maize,8,13,12,6.3,1.87,2.08,4.81,0.55,3.65,0.87,0.39
59.34,Sandy,Maize,11,1,12,6.45,1.97,2.27,6.35,1.42,2.31,0.87,0.39
33.57,Black,Barley,18,0,42,7.25,0.42,1.45,4.04,1.42,2.42,0.26,0.54
34.04,Clayey,Oil seeds,4,0,10,6.34,1.4,1.81,6.1,1.59,4.03,0.2,0.85
50.06,Red,Sugarcane,9,4,10,6.09,1.06,1.33,5.78,0.52,4.31,0.29,0.26
33.44,Black,Pulses,33,0,2,6.75,1.78,3.79,5.05,1.73,1.91,1.16,0.85
70.0,Loamy,Pulses,11,2,41,7.39,0.8,3.12,5.12,1.61,2.16,0.99,0.94
23.31,Loamy,Cotton,43,0,0,6.98,1.97,1.43,2.84,0.71,3.88,0.33,0.65
32.06,Sandy,Paddy,21,4,24,6.77,1.38,1.25,6.3,1.02,2.86,0.81,0.25
70.0,Loamy,Ground Nuts,10,1,32,5.97,1.67,3.07,2.93,1.46,3.47,0.81,0.42
20.0,Sandy,Oil seeds,14,11,13,6.85,0.54,2.34,4.75,1.24,3.65,0.2,0.29
53.16,Sandy,Tobacco,39,1,2,7.48,0.69,3.25,3.82,0.67,4.22,0.63,0.41
55.71,Sandy,Sugarcane,10,9,18,6.04,1.61,3.6,4.22,0.63,4.32,0.91,0.85
39.29,Black,Sugarcane,37,0,1,6.68,0.44,2.76,4.94,1.67,2.48,0.39,0.24
29.35,Black,Millets,22,0,26,7.29,1.71,1.69,6.14,0.73,3.39,1.05,0.43
65.83,Loamy,Pulses,13,4,5,7.06,0.42,3.23,4.33,0.76,1.93,0.86,0.61
